,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsSource,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,positivityRate,datetime
22,20200912,MD,115533.0,1328919.0,,361.0,14796.0,85.0,,,,7221.0,A+,9/12/2020 10:00,2020-09-12T10:00:00Z,09/12 06:00,3836.0,14796.0,2020-09-12T10:00:00Z,2183941.0,137934.0,,115533.0,3693.0,143.0,,1444452.0,,,,,,,,,,,24,809,10767,1444452,posNeg,1444452.0,11576,1444452,8,40,52caa777865e6d1424033157bec1807e725006a8,0,0,0,0,0,,0.07998396623771506,2020-09-12
23,20200912,ME,4834.0,320169.0,,10.0,431.0,6.0,,4.0,,4211.0,A+,9/11/2020 23:59,2020-09-11T23:59:00Z,09/11 19:59,135.0,431.0,2020-09-11T23:59:00Z,324518.0,6048.0,318215.0,4349.0,134.0,1.0,,,9957.0,503.0,9440.0,,,,,,,,23,42,4953,325003,posNeg,325003.0,4995,325003,1,-1,4daa684fbe00a12fbd7f0bb798ebf3da42ae2222,0,0,0,0,0,,0.01487370885807208,2020-09-12
24,20200912,MI,123058.0,2987552.0,,627.0,,172.0,,77.0,,85513.0,A+,9/12/2020 00:00,2020-09-12T00:00:00Z,09/11 20:00,6911.0,,2020-09-12T00:00:00Z,3144491.0,156939.0,2987552.0,111524.0,6591.0,320.0,,,268368.0,,,,,,,,,,26,807,37017,3110610,posNeg,3110610.0,37824,3110610,11,0,d91f8fb7cdfd0a69de7fdef497491e9c5b5ef784,0,0,0,0,0,,0.03956072924603213,2020-09-12
25,20200912,MN,83588.0,1138934.0,,247.0,6899.0,140.0,1949.0,,,76650.0,A+,9/11/2020 17:00,2020-09-11T17:00:00Z,09/11 13:00,1958.0,6899.0,2020-09-11T17:00:00Z,1684520.0,,,83588.0,1906.0,52.0,,1222522.0,,,,,,,,,,,27,872,9090,1222522,posNeg,1222522.0,9962,1222522,9,36,3f171b855d5634fab876bfaabd5c972f1f202808,0,0,0,0,0,,0.06837341168502489,2020-09-12
26,20200912,MO,101134.0,1012239.0,,1040.0,,,,,,,A,9/12/2020 00:00,2020-09-12T00:00:00Z,09/11 20:00,1704.0,,2020-09-12T00:00:00Z,1456844.0,109562.0,1344724.0,101134.0,,,,1113373.0,,,,70997.0,3188.0,67809.0,,,,,29,1974,14827,1113373,posNeg,1113373.0,16801,1113373,3,0,7a79f40398cb83ea96e47496585d7c1d0be0a2a9,0,0,0,0,0,,0.09083568579442829,2020-09-12
27,20200912,MP,60.0,14316.0,,,4.0,,,,,29.0,C,9/8/2020 00:00,2020-09-08T00:00:00Z,09/07 20:00,2.0,4.0,2020-09-08T00:00:00Z,18915.0,,,60.0,2.0,,,14375.0,,,,,,,,,,,69,1,0,14376,posNeg,14376.0,1,14376,0,0,262f1490a1ac8cc5d6e7c77c3005c4fd61de9cb7,0,0,0,0,0,,0.004173622704507512,2020-09-12
28,20200912,MS,89620.0,532919.0,,542.0,5410.0,179.0,,,,74098.0,A+,9/11/2020 00:00,2020-09-11T00:00:00Z,09/10 20:00,2685.0,5410.0,2020-09-11T00:00:00Z,617161.0,,,84242.0,2502.0,183.0,,,28693.0,95.0,,,,,,,38257.0,,28,445,3715,622539,posNeg,622539.0,4160,622539,15,0,1ab4ca1a6a3942a68d2467e04481f77e42c1a30f,0,0,0,0,0,,0.14395885237712014,2020-09-12
29,20200912,MT,8925.0,269803.0,,144.0,521.0,,,,,6824.0,B,9/12/2020 01:59,2020-09-12T01:59:00Z,09/11 21:59,133.0,521.0,2020-09-12T01:59:00Z,278728.0,,,8925.0,,,,,,,,,,,,,,,30,140,3930,278728,posNeg,278728.0,4070,278728,2,3,d6de2ed536589e592ac7a3e846904243748cf278,0,0,0,0,0,,0.03202046439539623,2020-09-12
30,20200912,NC,183740.0,2397392.0,,870.0,,287.0,,,,156652.0,A+,9/12/2020 12:25,2020-09-12T12:25:00Z,09/12 08:25,3047.0,,2020-09-12T12:25:00Z,2581132.0,,,183740.0,3047.0,,,,,,,,,,,,,,37,1454,21024,2581132,posNeg,2581132.0,22478,2581132,24,0,dd2332373d3177d26e57ed9879d4f15cfc5f68c8,0,0,0,0,0,,0.07118582079490704,2020-09-12
31,20200912,ND,15151.0,201430.0,,56.0,634.0,18.0,169.0,,,12450.0,A,9/12/2020 01:59,2020-09-12T01:59:00Z,09/11 21:59,133.0,634.0,2020-09-12T01:59:00Z,533340.0,,,15151.0,130.0,3.0,515420.0,216581.0,9020.0,373.0,8647.0,,,,,,,,38,467,1038,216581,totalTestEncountersViral,515420.0,9022,216581,0,4,2e33699e76ebc44a3a5a683c36d8b31831694c14,0,0,0,0,0,,0.029395444491870707,2020-09-12
32,20200912,NE,37841.0,359513.0,,166.0,2131.0,,,,,28816.0,A+,9/11/2020 20:30,2020-09-11T20:30:00Z,09/11 16:30,434.0,2131.0,2020-09-11T20:30:00Z,,,,37841.0,,,,397904.0,,,,,,,,,,,31,468,3074,397354,posNeg,397354.0,3542,397354,4,12,da1a439c90fbd20727e8beda684df95598679e08,0,0,0,0,0,,0.09523246274103192,2020-09-12
